representative,cluster_size,has_handpicked,source
hc_nucleus_area,14,True,handpicked
hc_cell_area,14,True,handpicked
nucleus_Intensity_MeanIntensity,7,False,cp_measure
hc_cell_RI_mean,7,True,handpicked
cell_lipid_Correlation_Manders_1,6,False,cp_measure
nucleus_HuMoment_4,5,False,cp_measure
hc_nucleolus_to_nucleus_area_ratio,5,True,handpicked
cell_MaxFeretDiameter,5,False,cp_measure
nucleus_MajorAxisLength,5,False,cp_measure
hc_nucleus_RI_std,4,True,handpicked
nucleus_Entropy_3_mean_256,4,False,cp_measure
cell_HuMoment_3,3,False,cp_measure
cell_RadialDistribution_FracAtD_2of4,3,False,cp_measure
cell_Variance_3_mean_256,3,False,cp_measure
nucleus_lipid_Correlation_RWC_2,3,False,cp_measure
nucleus_lipid_Correlation_Manders_1,3,False,cp_measure
cell_Intensity_MinIntensity,2,False,cp_measure
cell_Granularity_16,2,False,cp_measure
cell_Granularity_15,2,False,cp_measure
cell_Granularity_12,2,False,cp_measure
cell_Granularity_14,2,False,cp_measure
cell_Granularity_13,2,False,cp_measure
nucleus_FormFactor,2,False,cp_measure
nucleus_RadialDistribution_FracAtD_2of4,2,False,cp_measure
nucleus_HuMoment_0,2,False,cp_measure
nucleus_Eccentricity,2,False,cp_measure
cell_FormFactor,2,False,cp_measure
cell_HuMoment_0,2,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_6_2,2,False,cp_measure
hc_cell_eccentricity,2,True,handpicked
cell_RadialDistribution_ZernikeMagnitude_2_2,2,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_4_4,2,False,cp_measure
cell_RadialDistribution_ZernikeMagnitude_6_6,2,False,cp_measure
cell_nucleoli_Correlation_Manders_1,2,False,cp_measure
nucleus_InfoMeas1_3_mean_256,2,False,cp_measure
cell_Granularity_5,2,False,cp_measure
cell_Granularity_7,2,False,cp_measure
cell_Granularity_6,2,False,cp_measure
cell_Granularity_1,2,False,cp_measure
cell_Granularity_10,2,False,cp_measure
cell_Granularity_11,2,False,cp_measure
cell_Granularity_8,2,False,cp_measure
cell_Granularity_9,2,False,cp_measure
cell_nucleus_Correlation_Manders_1,2,False,cp_measure
cell_nucleus_Correlation_Pearson,2,False,cp_measure
cell_nucleoli_Correlation_Pearson,2,False,cp_measure
nucleus_lipid_Correlation_Pearson,2,False,cp_measure
nucleus_Intensity_MinIntensity,2,False,cp_measure
nucleus_InverseDifferenceMoment_3_mean_256,2,False,cp_measure
cell_AngularSecondMoment_3_mean_256,2,False,cp_measure
cell_SumEntropy_3_mean_256,2,False,cp_measure
cell_DifferenceVariance_3_mean_256,2,False,cp_measure
cell_InfoMeas1_3_mean_256,2,False,cp_measure
cell_Granularity_3,1,False,cp_measure
nucleus_Granularity_3,1,False,cp_measure
cell_nucleus_Correlation_Costes_1,1,False,cp_measure
cell_nucleoli_Correlation_Costes_1,1,False,cp_measure
cell_nucleus_Correlation_Costes_2,1,False,cp_measure
cell_nucleus_Correlation_Manders_2,1,False,cp_measure
cell_RadialDistribution_RadialCV_2of4,1,False,cp_measure
cell_RadialDistribution_RadialCV_3of4,1,False,cp_measure
cell_RadialDistribution_RadialCV_4of4,1,False,cp_measure
cell_RadialDistribution_RadialCV_1of4,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_8_0,1,False,cp_measure
nucleus_Zernike_8_0,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_8_2,1,False,cp_measure
nucleus_Zernike_8_2,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_4_0,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_9_9,1,False,cp_measure
nucleus_Zernike_9_9,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_7_7,1,False,cp_measure
nucleus_Zernike_7_7,1,False,cp_measure
nucleus_Zernike_3_3,1,False,cp_measure
nucleus_Zernike_5_5,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_6_0,1,False,cp_measure
nucleus_Zernike_6_0,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_6_2,1,False,cp_measure
nucleus_Zernike_6_2,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_2_0,1,False,cp_measure
nucleus_Zernike_2_0,1,False,cp_measure
nucleus_Zernike_6_6,1,False,cp_measure
nucleus_Zernike_8_8,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_8_6,1,False,cp_measure
nucleus_Zernike_8_6,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_4_2,1,False,cp_measure
nucleus_Zernike_4_2,1,False,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_2_2,1,False,cp_measure
nucleus_Zernike_0_0,1,False,cp_measure
